,Tweet,Processed Tweet,polarity,sentiment
2,"📣#StarWind_handy
Top Features in #Windows11 🪟🖥️ 
Read the article by @vspinmaster for #StarWind on the top new feat… https://t.co/91mB22siB2",📣#StarWind_handy Top Features 🪟🖥️ Read article  #StarWind top new feat… ,0.37878787878787873,Positive
3,Windows11にしてからWin+Xのメニューにショートカットキーが表示されず機能もせず、若干の不便感があったのだけど、突然治りました。有り難いけど謎。#Windows11 https://t.co/FCKgtljCNS,Windows11にしてからWin+Xのメニューにショートカットキーが表示されず機能もせず、若干の不便感があったのだけど、突然治りました。有り難いけど謎。#Windows11 ,0.0,Neutral
4,"This shit is comically pathetic.

#Microsoft #Windows11 #NotTheOnion #Google #GoogleChrome
#Chrome

https://t.co/CTrTZHwEOf",This shit comically pathetic. #Microsoft #NotTheOnion #Google #GoogleChrome #Chrome ,-0.6,Negative
5,Alguém que já instalou o #Windows11 indica? Ou melhor deixar pra la?  #Microsoft #Windows11 #atualizacaowindows,Alguém que já instalou indica? Ou melhor deixar pra la? #Microsoft #atualizacaowindows,0.0,Neutral
6,GREAT NEWS!!! THE SAVINGS CONTINUE!!! We are extending the 11% discount on ALL our #ViaMonstraAcademy courses until… https://t.co/LZUiuBmBH7,GREAT NEWS!!! THE SAVINGS CONTINUE!!! We extending 11% discount ALL #ViaMonstraAcademy course until… ,1.0,Positive
7,"RT @firedaemon: ZeroInput 0.0.0.5

Now supports #windows11 and #Server2022. Use in conjunction with FireDaemon Zero to get access to Sessio…", ZeroInput 0.0.0.5 Now support #windows11 #Server2022. Use conjunction FireDaemon Zero get access Sessio…,0.0,Neutral
8,Microsoft наконец выпустил анонсированный еще в мае ECS LIVA Mini Box QC710 Desktop — это мини-компьютер на базе… https://t.co/tTq7vqTuYu,Microsoft наконец выпустил анонсированный еще в мае ECS LIVA Mini Box QC710 Desktop — это мини-компьютер на базе… ,0.0,Neutral
10,"RT @SmartWindowsapp: Which Windows are you using?
#Windows11 #Windows10 #Windows #Microsoft  #Trending #NFT #Trend #News #NEWSUPDATE", Which Windows using? #Windows10 #Windows #Microsoft #Trending #NFT #Trend #News #NEWSUPDATE,0.0,Neutral
11,RT @coreylweathers: Testing streaming from #Windows11. I'm going live on #Twitch for a short stream (just one hr) today. So #codenewbies an…, Testing streaming #Windows11. I'm going live #Twitch short stream (just one hr) today. So #codenewbies an…,0.06818181818181818,Neutral
14,Testing streaming from #Windows11. I'm going live on #Twitch for a short stream (just one hr) today. So… https://t.co/0kPhbqS03r,Testing streaming #Windows11. I'm going live #Twitch short stream (just one hr) today. So… ,0.06818181818181818,Neutral
18,"RT @AminNm91: امروز ویندوز 11 نصب شد روی پردازنده AMD و همه چیز کاملا فیکسه
عزیزانی که میخواهید آپدیت کنید با خیال راحت GGEZ کنید
#Windows1…", امروز ویندوز 11 نصب شد روی پردازنده AMD و همه چیز کاملا فیکسه عزیزانی که میخواهید آپدیت کنید با خیال راحت GGEZ کنید #Windows1…,0.0,Neutral
19,"امروز ویندوز 11 نصب شد روی پردازنده AMD و همه چیز کاملا فیکسه
عزیزانی که میخواهید آپدیت کنید با خیال راحت GGEZ کنید… https://t.co/tl1o0f6LIN",امروز ویندوز 11 نصب شد روی پردازنده AMD و همه چیز کاملا فیکسه عزیزانی که میخواهید آپدیت کنید با خیال راحت GGEZ کنید… ,0.0,Neutral
20,"Windows11公式非対応PCに
危険性は理解してインストールしてみた
逆にWindows10よりも軽くなったのだが??（リセットしていない）
#Windows11",Windows11公式非対応PCに 危険性は理解してインストールしてみた 逆にWindows10よりも軽くなったのだが??（リセットしていない）,0.0,Neutral
